Genotype.y,biol_rep,name,gen_n,pop_dapc8,pop_dapc8_n,pop_dapc8_ID,ID,Genotype,pop_dapc5,Lat,Long,Alt,Country,Ac_ara,Ac_gal,Ac_glc,Ac_xyl,Ac_man,Ac_cel,Ara,Gal,Glc,Xyl,Man,Cel,AraEnz,GlcEnz,XylEnz,AraEnz_p,GlcEnz_p,XylEnz_p,AraE,GlcE,XylE,AraE_DW,GlcE_DW,XylE_DW,ADF,NDF,ADL,Ash,DM,K_Lignin,Cellulose,Hemicellulose,CelHem,XylAra,ManGal,XylGlc,DWL,DWS,LSR,DW,GlcE_harv
Mb340,2,Lunete,5,Sacc_rob,6,M6,M6.03,Mb340,3,34.3057,117.951,12,China,0.57,0.131366667,14.61453333,10.3994,0.332133333,NA,1.619328102,0.373104541,41.52864911,29.55120516,0.948414386,NA,0.535766667,8.99763235,2.8157928,0.103067536,1.487659076,0.537178651,6.34824105,3.591928275,1.819533201,1.823264706,26.31668905,9.502690336,63.35,89.25,12.88,1.02,94.31,23.35,50.47,25.9,1.948648649,18.24905349,2.541953481,0.711585996,6.18,80.44,0.08,1.769,26.31668905
Mb340,3,Lunete,5,Sacc_rob,6,M6,M6.03,Mb340,3,34.3057,117.951,12,China,0.5855,0.1601,15.242,10.2294,0.694333333,NA,1.637860024,0.453446383,42.65341313,28.63121483,1.953119152,NA,0.4797,9.46304688,3.2090496,0.093470398,1.609180312,0.624946342,5.712575116,3.774144882,2.182381511,1.456268796,25.07102927,9.736664003,61.15,89.96,11.85,1.6,93.56,22.55,49.3,28.81,1.711211385,17.48086797,4.307276952,0.671252609,NA,64.79,NA,1.558,25.07102927
Mb337,1,Modred,4,Sacc_rob,6,M6,M6.02,Mb337,3,34.3045,117.951,12,China,0.43475,0.17985,6.9155,5.62965,0.2619,0.2135,1.235543203,0.510656503,19.67181654,16.00824732,0.744531712,0.599258049,0.515466667,11.7023913,3.8174706,0.101819524,2.073835103,0.754271865,8.099179616,12.48866484,5.378737308,1.092523496,22.25225066,8.093337115,59.11,87.25,10.51,2.04,93.43,20.98,48.6,28.14,1.727078891,12.95644481,1.45798929,0.813765586,2.18,59.94,0.04,1.073,22.25225066
Mb337,2,Modred,4,Sacc_rob,6,M6,M6.02,Mb337,3,34.3045,117.951,12,China,0.2557,1.65645,10.6469,7.2622,5.2077,NA,0.743831041,4.852230013,30.97182133,21.12573246,15.14919403,NA,0.3875,9.6629511,3.3332931,0.079331119,1.700997684,0.670576455,NA,6.366235699,3.58263881,0.503752606,10.80133529,4.258160491,61.48,87.89,10.17,2.36,92.43,20.74,51.31,26.41,1.942824688,28.40125149,3.122109626,0.682095258,2.68,62.55,0.04,0.635,10.80133529
Mb337,3,Modred,4,Sacc_rob,6,M6,M6.02,Mb337,3,34.3045,117.951,12,China,0.5005,0.107166667,15.4226,10.10706667,0.552666667,NA,1.414091478,0.302873995,43.55737861,28.54838273,1.552933191,NA,0.327733333,9.345570733,3.1720359,0.063179074,1.574881121,0.614691137,4.456074168,3.614095641,2.153852613,0.377810865,9.417789106,3.675852999,64.13,91.78,12.66,1.25,93.73,22.89,51.47,27.65,1.861482821,20.18849782,5.127324294,0.655420129,2.13,52.55,0.04,0.598,9.417789106
Mb1029#24,1,Nudd,2,Sacc_rob,6,M6,M6.01,Mb1029,3,24.18619,121.33481,2340,Taiwan,0.652833333,0.251966667,9.153733333,7.840833333,0.566666667,NA,1.848752005,0.712287261,25.91321527,22.19331481,1.599268276,NA,0.761833333,16.91223513,4.6601008,0.154236851,3.101295821,0.921711627,8.137845216,12.41185499,4.206909359,1.721283257,34.61046136,10.28630176,55.24,87.96,8.3,2.56,93.83,19.43,46.94,32.72,1.434596577,12.00448451,2.245257446,0.856447746,21.76,71.29,0.31,1.116,34.61046136
Mb1029#24,2,Nudd,2,Sacc_rob,6,M6,M6.01,Mb1029,3,24.18619,121.33481,2340,Taiwan,1.2667,0.0981,10.11873333,7.29,5.9409,NA,3.637047427,0.282208567,29.09686307,20.91793978,17.06604969,NA,0.6322,11.85878661,3.4363494,0.123165215,2.062486151,0.664899738,3.278948846,7.092569399,3.21820545,0.929897371,15.57177044,5.019993024,53.99,86.76,8.68,2.39,93.96,19.19,45.31,32.77,1.382667074,5.751351942,60.47318079,0.718907043,7.71,60.72,0.13,0.755,15.57177044
Mb1029#24,3,Nudd,2,Sacc_rob,6,M6,M6.01,Mb1029,3,24.18619,121.33481,2340,Taiwan,0.9473,0.285333333,14.1803,11.041,0.879,NA,2.690579006,0.810324263,40.30362712,31.37980938,2.493968638,NA,0.509633333,19.83609833,3.2186902,0.10043573,3.679962382,0.63571416,3.730216622,9.141947565,2.026341834,0,0,0,45.2,80.72,6.49,5.44,93.35,19.46,38.71,35.52,1.089808559,11.66284629,3.077741532,0.778585245,NA,NA,NA,0,0
Mb348,1,Pryderi,7,Sacc_rob,6,M6,M6.05,Mb348,3,34.3048,117.951,24,China,0.2326,0.1202,4.201833333,3.5356,0.38255,NA,0.648674065,0.335386093,11.71799938,9.859819441,1.067157897,NA,0.43975,8.4679731,3.2120694,0.085062239,1.398742139,0.619141226,20.21029097,15.19056045,7.963125482,0.22456431,3.692679247,1.634532838,60.3,89.06,10.25,2.1,93.5,21.07,50.05,28.76,1.740264256,15.19995938,3.181878797,0.841425155,4.6,38.66,0.12,0.264,3.692679247
Mb348,2,Pryderi,7,Sacc_rob,6,M6,M6.05,Mb348,3,34.3048,117.951,24,China,1.169266667,0.4293,13.56466667,10.5846,1.4819,NA,3.316964587,1.222242698,38.42068381,29.97785673,4.242846813,NA,1.00975,29.61053431,4.8652212,0.203280165,5.313063361,0.907937612,6.855604053,13.87212821,3.039147262,0.056918446,1.487657741,0.254222531,44.99,78.7,5.95,4.6,93.38,18.2,39.04,33.71,1.158113319,9.037737951,3.471361964,0.780253076,2.38,17.53,0.14,0.028,1.487657741
