accession,geno,choice,name,ID,species,pop_dapc8,pop_dapc8_ID,pop_dapc5,Lat,Long,Soil.all,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51
Mb814,Mb814#41,0,noone,NA,sacc,Sacc_rob,M6,3,32.2341,119.339,11656,-4.78323503,-1.119709387,-0.448053656,2.829313276,4.284442759,-1.392080873,0.466164915,1.545611877,0.950693638,-0.181554555,-0.397955459,0.630232769,1.058367345,-0.668338339,0.73977429,-0.67436244,0.102641637,-0.113412042,-0.036652208,0.111243621,-0.030632882,-0.096873629,0.089670827,0.193734032,0.009806237,0.08824111,0.032949058,-0.02113614,0.016371689,-0.083555324,0.004667286,0.045853202,-0.037606108,0.024234894,-0.012304737,0.016635062,-0.014844209,-0.001507624,0.068244744,-0.000121318,0.007095555,-0.022317264,-0.016654887,-0.019448785,-0.006705869,0.002820948,-0.011514305,-0.009733587,-0.000506405,-3.66E-05,7.63E-17
Mb815,Mb815#47,0,noone,NA,sacc,Sacc_rob,M6,3,32.2341,119.339,11656,-4.78323503,-1.119709387,-0.448053656,2.829313276,4.284442759,-1.392080873,0.466164915,1.545611877,0.950693638,-0.181554555,-0.397955459,0.630232769,1.058367345,-0.668338339,0.73977429,-0.67436244,0.102641637,-0.113412042,-0.036652208,0.111243621,-0.030632882,-0.096873629,0.089670827,0.193734032,0.009806237,0.08824111,0.032949058,-0.02113614,0.016371689,-0.083555324,0.004667286,0.045853202,-0.037606108,0.024234894,-0.012304737,0.016635062,-0.014844209,-0.001507624,0.068244744,-0.000121318,0.007095555,-0.022317264,-0.016654887,-0.019448785,-0.006705869,0.002820948,-0.011514305,-0.009733587,-0.000506405,-3.66E-05,7.63E-17
Mb816,Mb816,0,noone,NA,sacc,Sacc_rob,M6,3,32.2341,119.339,11656,-4.78323503,-1.119709387,-0.448053656,2.829313276,4.284442759,-1.392080873,0.466164915,1.545611877,0.950693638,-0.181554555,-0.397955459,0.630232769,1.058367345,-0.668338339,0.73977429,-0.67436244,0.102641637,-0.113412042,-0.036652208,0.111243621,-0.030632882,-0.096873629,0.089670827,0.193734032,0.009806237,0.08824111,0.032949058,-0.02113614,0.016371689,-0.083555324,0.004667286,0.045853202,-0.037606108,0.024234894,-0.012304737,0.016635062,-0.014844209,-0.001507624,0.068244744,-0.000121318,0.007095555,-0.022317264,-0.016654887,-0.019448785,-0.006705869,0.002820948,-0.011514305,-0.009733587,-0.000506405,-3.66E-05,7.63E-17
Mb817,Mb817#15,0,noone,NA,sacc,Sacc_rob,M6,3,32.2341,119.339,11656,-4.78323503,-1.119709387,-0.448053656,2.829313276,4.284442759,-1.392080873,0.466164915,1.545611877,0.950693638,-0.181554555,-0.397955459,0.630232769,1.058367345,-0.668338339,0.73977429,-0.67436244,0.102641637,-0.113412042,-0.036652208,0.111243621,-0.030632882,-0.096873629,0.089670827,0.193734032,0.009806237,0.08824111,0.032949058,-0.02113614,0.016371689,-0.083555324,0.004667286,0.045853202,-0.037606108,0.024234894,-0.012304737,0.016635062,-0.014844209,-0.001507624,0.068244744,-0.000121318,0.007095555,-0.022317264,-0.016654887,-0.019448785,-0.006705869,0.002820948,-0.011514305,-0.009733587,-0.000506405,-3.66E-05,7.63E-17
Mb819,Mb819#19,0,noone,NA,sacc,Sacc_rob,M6,3,32.2336,119.34,11656,-4.78323503,-1.119709387,-0.448053656,2.829313276,4.284442759,-1.392080873,0.466164915,1.545611877,0.950693638,-0.181554555,-0.397955459,0.630232769,1.058367345,-0.668338339,0.73977429,-0.67436244,0.102641637,-0.113412042,-0.036652208,0.111243621,-0.030632882,-0.096873629,0.089670827,0.193734032,0.009806237,0.08824111,0.032949058,-0.02113614,0.016371689,-0.083555324,0.004667286,0.045853202,-0.037606108,0.024234894,-0.012304737,0.016635062,-0.014844209,-0.001507624,0.068244744,-0.000121318,0.007095555,-0.022317264,-0.016654887,-0.019448785,-0.006705869,0.002820948,-0.011514305,-0.009733587,-0.000506405,-3.66E-05,7.63E-17
Mb83,Mb83,0,noone,NA,sacc,Sacc_rob,M6,3,36.2333,126.517,0,0.269344327,-0.103773554,0.072685779,-0.695403911,0.847905892,0.379767164,-0.152649247,0.410711454,-0.139649562,-0.572746998,-0.252422659,-0.230042856,0.121756065,0.281467655,-0.487763893,0.091241138,-0.2080937,-0.115744696,-0.025523265,-0.035507415,0.148471399,-0.287725556,0.200637319,-0.041271756,-0.116619586,0.155323337,-0.059530989,0.059225997,0.069471282,0.020857605,-0.064992457,-0.033620485,0.004718955,0.044902987,0.099402638,0.006268136,-0.02198333,0.076919545,0.027745069,0.027438568,-0.01251331,-0.002470726,0.000804696,0.000520641,0.00043525,6.20E-05,0.003159725,0.001599814,6.09E-06,-1.03E-07,1.94E-16
Mb868,Mb868,0,noone,NA,sacc,Sacc_rob,M6,3,34.6988,135.452,0,0.269344327,-0.103773554,0.072685779,-0.695403911,0.847905892,0.379767164,-0.152649247,0.410711454,-0.139649562,-0.572746998,-0.252422659,-0.230042856,0.121756065,0.281467655,-0.487763893,0.091241138,-0.2080937,-0.115744696,-0.025523265,-0.035507415,0.148471399,-0.287725556,0.200637319,-0.041271756,-0.116619586,0.155323337,-0.059530989,0.059225997,0.069471282,0.020857605,-0.064992457,-0.033620485,0.004718955,0.044902987,0.099402638,0.006268136,-0.02198333,0.076919545,0.027745069,0.027438568,-0.01251331,-0.002470726,0.000804696,0.000520641,0.00043525,6.20E-05,0.003159725,0.001599814,6.09E-06,-1.03E-07,1.94E-16
Mb877,Mb877#49,0,noone,NA,sin,Sacc_rob,M6,3,35.0281,136.04,4394,-1.740942051,-0.775280657,2.805086185,1.660007107,-0.236675569,-0.198208029,-0.114812265,-1.832792325,0.156232761,0.565499498,-0.532713477,-0.168058353,0.79789851,0.486611009,0.31836219,0.384361136,-0.549306379,0.22467055,0.065432475,0.078695798,0.145084477,0.093414798,0.074380727,-0.004384568,0.012818413,0.183802758,0.114727296,0.041723681,-0.089999766,-0.015265011,-0.050627579,0.146140873,-0.073587994,0.048124017,-0.053442012,0.017318862,0.013212817,0.017065175,-0.00584146,-0.048479775,-0.007176473,-0.022057107,-0.01277382,0.004197748,0.013994437,-0.001755296,0.003215675,-0.0022883,-0.000814884,0.000339365,2.30E-15
Mb884,Mb884#1,0,noone,NA,sacc,Sacc_rob,M6,3,35.0577,136.717,0,0.269344327,-0.103773554,0.072685779,-0.695403911,0.847905892,0.379767164,-0.152649247,0.410711454,-0.139649562,-0.572746998,-0.252422659,-0.230042856,0.121756065,0.281467655,-0.487763893,0.091241138,-0.2080937,-0.115744696,-0.025523265,-0.035507415,0.148471399,-0.287725556,0.200637319,-0.041271756,-0.116619586,0.155323337,-0.059530989,0.059225997,0.069471282,0.020857605,-0.064992457,-0.033620485,0.004718955,0.044902987,0.099402638,0.006268136,-0.02198333,0.076919545,0.027745069,0.027438568,-0.01251331,-0.002470726,0.000804696,0.000520641,0.00043525,6.20E-05,0.003159725,0.001599814,6.09E-06,-1.03E-07,1.94E-16
Mb888,Mb888#47,0,noone,NA,sacc,Sacc_rob,M6,3,35.1034,136.672,4394,-1.779472736,-1.052449763,2.680408207,1.805467804,-0.02507091,-0.097297141,-0.754251966,-1.756819572,0.211198482,0.464721505,-0.608425215,-0.296998686,0.65853521,0.222107479,0.102027639,0.339446181,-0.469723826,0.205119721,0.111184076,-0.083273814,0.103976997,0.12342192,0.068432003,0.024423953,0.065345997,0.088846257,-0.008907084,0.027297852,-0.043245823,-0.049288264,-0.096765049,0.043576028,-0.083579745,-0.051401798,-0.096880063,0.010760353,-0.005367759,0.050887275,-0.019485018,-0.030610666,-0.014089394,-0.024306625,-0.010109134,0.007903296,0.012749891,-0.004280412,0.00300085,-0.001025244,-0.000589721,0.00032162,1.17E-15
