accession;geno;species;pop_dapc8;pop_dapc5;Lat;Long;Soil.all;TAA;TRD;TIA;TSA;TMA;TmA.1;TRA;TWeQ;TDQ;TWaQ;TCQ;PTA;PWM;PDM;PSA;PWeQ;PDQ;PWaQ;PCQ;T_GR;T_SA;T_SI;T_CL;T_RB;T_BD;T_OC;T_PH;T_CE;T_CS;T_BS;T_TE;T_CA;T_CO;T_ES;T_EC;S_GR;S_SA;S_SI;S_CL;S_RD;S_BD;S_OC;S_PH;S_CE;S_CS;S_BS;S_TE;S_CA;S_CO;S_ES;S_EC
Mb851;Mb851#1;sin;Flor_Taiwan;4;234168;113258;11616;222;83;34;5675;332;89;243;276;161;286;143;1827;320;33;65;851;121;765;155;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb855;Mb855#21;sin;Flor_Taiwan;4;230965;113172;11616;223;81;34;5514;329;94;235;275;166;285;147;1693;276;34;65;789;115;770;135;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb86;Mb86;sin;Sin_N_Japan;1;355167;127483;4352;117;121;32;9282;297;-77;374;233;-7;233;-7;1375;306;32;76;750;110;750;110;18;42;365;215;14;13;1425;635;36;135;685;985;195;0;25;1;20;45;35;20;142;137;5;52;36;9;33;26;0;0;1;1
Mb868;Mb868;sacc;Sacc_rob;3;346988;135452;0;143;84;27;8332;298;-11;321;219;53;242;44;1404;221;46;48;574;171;543;172;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb87;Mb87;unknown;Sacc_rob;3;357333;127583;4352;111;12;32;9351;291;-84;375;228;-14;228;-14;1345;305;31;77;739;107;739;107;18;42;365;215;14;13;1425;635;36;135;685;985;195;0;25;1;20;45;35;20;142;137;5;52;36;9;33;26;0;0;1;1
Mb877;Mb877#49;sin;Sacc_rob;3;350281;13604;4394;145;9;28;8154;314;-4;318;246;44;251;44;1656;234;71;39;606;227;572;227;64;32;3775;3025;13435;12215;4939;6555;463;2555;91;21295;25;0;165;1;445;347;34;313;13375;12865;34995;6935;4665;223;9595;2204;1155;0;22;1
Mb88;Mb88;sin;Sin_S_Japan;2;364667;129417;4290;122;99;30;8232;281;-49;33;224;14;224;14;1084;199;34;56;507;124;486;124;10;41;39;20;141;13;145;51;30;12;37;41;0;0;1;1;20;45;35;20;142;137;5;52;36;9;33;26;0;0;1;1
Mb884;Mb884#1;sacc;Sacc_rob;3;350577;136717;0;143;84;27;8332;298;-11;321;219;53;242;44;1404;221;46;48;574;171;543;172;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb888;Mb888#47;sacc;Sacc_rob;3;351034;136672;4394;154;86;27;7967;316;3;313;252;54;257;54;1708;236;60;43;628;191;620;191;64;32;3775;3025;13435;12215;4939;6555;463;2555;91;21295;25;0;165;1;445;347;34;313;13375;12865;34995;6935;4665;223;9595;2204;1155;0;22;1
Mb892;Mb892#44;sacc;Sacc_rob;3;353114;136632;4394;154;86;27;8090;319;3;316;222;52;259;52;1850;255;78;40;675;249;647;249;64;32;3775;3025;13435;12215;4939;6555;463;2555;91;21295;25;0;165;1;445;347;34;313;13375;12865;34995;6935;4665;223;9595;2204;1155;0;22;1
Mb893;Mb893#11;sin;Sin_N_Japan;1;354723;136559;4279;149;84;26;8242;316;0;316;251;7;255;45;2018;266;109;33;698;341;682;342;97;37;261;369;1318;1258;1575;485;198;115;399;481;0;0;13;1;9;301;233;466;1272;1262;633;504;199;95;272;246;0;0;13;1
Mb895;Mb895#22;cond;Sin_N_Japan;1;355771;136467;4355;13;81;25;8458;299;-19;318;235;49;239;23;2165;280;119;28;730;415;728;423;1346;4036;3928;2036;14065;11218;30632;6115;4992;1929;5413;8571;1326;0;202;1;145;425;38;195;1415;1085;145;56;635;16;34;355;0;0;1;1
Mb9;Mb9;sin;Sin_N_Japan;1;384005;14074;4354;97;83;25;8713;27;-58;328;209;-1;209;-12;1408;189;72;34;530;236;530;243;1125;405;385;21;14;1195;26675;6225;50;1675;5975;92;975;0;175;1;1,16667E+14;3,93333E+14;3,63333E+14;2,43333E+14;138;1,22333E+14;9,33333E+14;59;56;1,83333E+14;5,06667E+14;5,63333E+14;0;0;1;1
Mb900;Mb900#1;sin;Sacc_rob;3;353289;136621;4394;153;86;27;8125;319;2;317;222;51;259;51;1865;256;81;39;678;257;650;257;64;32;3775;3025;13435;12215;4939;6555;463;2555;91;21295;25;0;165;1;445;347;34;313;13375;12865;34995;6935;4665;223;9595;2204;1155;0;22;1
Mb901;Mb901;sacc;Sacc_rob;3;360609;138109;4355;111;108;30;8800;291;-68;359;22;-2;222;-2;1277;183;39;48;502;129;490;129;1346;4036;3928;2036;14065;11218;30632;6115;4992;1929;5413;8571;1326;0;202;1;145;425;38;195;1415;1085;145;56;635;16;34;355;0;0;1;1
Mb903;Mb903#11;sin;Sin_N_Japan;1;360908;138062;4355;106;108;30;8804;287;-72;359;216;-6;217;-6;1273;183;39;48;499;129;488;129;1346;4036;3928;2036;14065;11218;30632;6115;4992;1929;5413;8571;1326;0;202;1;145;425;38;195;1415;1085;145;56;635;16;34;355;0;0;1;1
Mb904;Mb904#20;sin;Sin_N_Japan;1;359759;138004;4418;112;11;30;8764;293;-66;359;221;0;222;0;1309;191;40;47;508;133;492;133;78;3605;349;2905;1357;10575;33005;5375;431;1815;341;6265;0;0;85;1;1065;3485;328;3235;13365;11015;1048;555;4795;171;3355;466;0;0;105;1
Mb905;Mb905#17;sin;Sin_N_Japan;1;359759;138004;4418;112;11;30;8764;293;-66;359;221;0;222;0;1309;191;40;47;508;133;492;133;78;3605;349;2905;1357;10575;33005;5375;431;1815;341;6265;0;0;85;1;1065;3485;328;3235;13365;11015;1048;555;4795;171;3355;466;0;0;105;1
Mb909;Mb909#41;sacc;Sacc_rob;3;358388;137962;4418;119;111;31;8636;299;-58;357;227;8;228;8;1379;205;45;46;528;147;501;147;78;3605;349;2905;1357;10575;33005;5375;431;1815;341;6265;0;0;85;1;1065;3485;328;3235;13365;11015;1048;555;4795;171;3355;466;0;0;105;1
Mb91;Mb91;sacc;Sacc_rob;3;400042;121968;11407;93;88;21;11415;278;-129;407;232;-63;232;-63;656;183;7;105;419;25;419;25;2;38;39;23;138;13;195;64;55;20;87;124;0;0;1;1;4;40;37;23;139;139;67;68;64;17;95;138;1;0;1;1
Mb910;Mb910#11;sin;Sin_N_Japan;1;358388;137962;4418;119;111;31;8636;299;-58;357;227;8;228;8;1379;205;45;46;528;147;501;147;78;3605;349;2905;1357;10575;33005;5375;431;1815;341;6265;0;0;85;1;1065;3485;328;3235;13365;11015;1048;555;4795;171;3355;466;0;0;105;1
Mb913;Mb913#17;sacc;Sacc_rob;3;358009;137946;4418;121;112;31;8590;30;-57;357;228;11;229;11;1403;210;47;45;536;152;506;152;78;3605;349;2905;1357;10575;33005;5375;431;1815;341;6265;0;0;85;1;1065;3485;328;3235;13365;11015;1048;555;4795;171;3355;466;0;0;105;1
Mb914;Mb914#13;sin;Sin_N_Japan;1;355094;137543;4371;129;104;30;8344;302;-4;342;232;22;235;22;1918;271;67;45;743;213;722;213;9;38;4225;1975;1405;121;27025;62;5825;185;6425;96;975;0;15;1;6,33333E+14;3,23333E+14;4,13333E+14;2,63333E+14;1,35333E+14;1,30333E+14;8,33333E+14;5,93333E+14;6,63333E+14;20;5,93333E+14;64;0;0;6,66667E+14;1
Mb915;Mb915#19;sin;Sin_N_Japan;1;355094;137543;4371;129;104;30;8344;302;-4;342;232;22;235;22;1918;271;67;45;743;213;722;213;9;38;4225;1975;1405;121;27025;62;5825;185;6425;96;975;0;15;1;6,33333E+14;3,23333E+14;4,13333E+14;2,63333E+14;1,35333E+14;1,30333E+14;8,33333E+14;5,93333E+14;6,63333E+14;20;5,93333E+14;64;0;0;6,66667E+14;1
Mb923;Mb923;sin;Sin_N_Japan;1;379083;139144;4394;133;75;23;8520;305;-9;314;54;106;244;28;1876;241;101;27;642;319;488;586;64;32;3775;3025;13435;12215;4939;6555;463;2555;91;21295;25;0;165;1;445;347;34;313;13375;12865;34995;6935;4665;223;9595;2204;1155;0;22;1
Mb925;Mb925#22;sin;Sin_N_Japan;1;378544;139157;4394;133;75;23;8547;305;-11;316;54;106;244;27;1875;242;100;27;643;318;486;591;64;32;3775;3025;13435;12215;4939;6555;463;2555;91;21295;25;0;165;1;445;347;34;313;13375;12865;34995;6935;4665;223;9595;2204;1155;0;22;1
Mb926;Mb926#21;sin;Sin_N_Japan;1;378544;139157;4394;133;75;23;8547;305;-11;316;54;106;244;27;1875;242;100;27;643;318;486;591;64;32;3775;3025;13435;12215;4939;6555;463;2555;91;21295;25;0;165;1;445;347;34;313;13375;12865;34995;6935;4665;223;9595;2204;1155;0;22;1
Mb928;Mb928#18;sin;Sin_N_Japan;1;378544;139157;4394;133;75;23;8547;305;-11;316;54;106;244;27;1875;242;100;27;643;318;486;591;64;32;3775;3025;13435;12215;4939;6555;463;2555;91;21295;25;0;165;1;445;347;34;313;13375;12865;34995;6935;4665;223;9595;2204;1155;0;22;1
Mb93;Mb93;rob;Sacc_rob;3;431611;128018;11407;29;13;26;13039;252;-243;495;187;-15;187;-15;659;160;6;97;416;21;416;21;2;38;39;23;138;13;195;64;55;20;87;124;0;0;1;1;4;40;37;23;139;139;67;68;64;17;95;138;1;0;1;1
Mb930;Mb930;sin;Sin_N_Japan;1;378544;139157;4394;133;75;23;8547;305;-11;316;54;106;244;27;1875;242;100;27;643;318;486;591;64;32;3775;3025;13435;12215;4939;6555;463;2555;91;21295;25;0;165;1;445;347;34;313;13375;12865;34995;6935;4665;223;9595;2204;1155;0;22;1
Mb931;Mb931#12;sin;Sin_N_Japan;1;378544;139157;4394;133;75;23;8547;305;-11;316;54;106;244;27;1875;242;100;27;643;318;486;591;64;32;3775;3025;13435;12215;4939;6555;463;2555;91;21295;25;0;165;1;445;347;34;313;13375;12865;34995;6935;4665;223;9595;2204;1155;0;22;1
Mb933;Mb933#11;sin;Sin_N_Japan;1;377381;139319;4292;128;8;24;8770;305;-21;326;46;103;241;19;1836;228;99;25;604;319;490;571;103;418;369;213;1403;1222;2423;518;382;138;35;478;0;0;11;1;159;412;333;255;1381;1265;755;532;418;131;326;283;0;0;13;1
Mb935;Mb935#13;sin;Sin_N_Japan;1;375362;140034;4422;98;9;26;8999;279;-62;341;213;23;213;-15;1394;190;76;32;518;246;518;269;34;325;394;281;1363;825;4722;602;72;27;438;1249;0;0;7;1;7;35;368;282;1363;859;1593;621;809;245;489;1055;3;0;11;1
Mb938;Mb938;sacc;Sacc_rob;3;375277;140116;4422;101;91;26;8913;281;-59;34;214;-9;214;-11;1356;186;70;34;512;232;512;245;34;325;394;281;1363;825;4722;602;72;27;438;1249;0;0;7;1;7;35;368;282;1363;859;1593;621;809;245;489;1055;3;0;11;1
Mb939;Mb939#42;sacc;Sacc_rob;3;375277;140116;4422;101;91;26;8913;281;-59;34;214;-9;214;-11;1356;186;70;34;512;232;512;245;34;325;394;281;1363;825;4722;602;72;27;438;1249;0;0;7;1;7;35;368;282;1363;859;1593;621;809;245;489;1055;3;0;11;1
Mb94;Mb94;sacc;Sacc_rob;3;425331;128273;11922;32;129;26;12695;251;-232;483;186;-143;186;-143;652;152;7;93;404;24;404;24;9;37;45;18;142;14;82;6;53;13;75;117;0;0;0;1;19;33;35;32;132;158;38;63;54;21;84;195;0;0;1;1
Mb942;Mb942#15;sin;Sin_N_Japan;1;375295;140114;4422;101;91;26;8913;281;-59;34;214;-9;214;-11;1356;186;70;34;512;232;512;245;34;325;394;281;1363;825;4722;602;72;27;438;1249;0;0;7;1;7;35;368;282;1363;859;1593;621;809;245;489;1055;3;0;11;1
Mb943;Mb943#46;sacc;Sacc_rob;3;375954;140463;4422;121;91;27;8452;295;-35;33;23;15;23;15;1216;167;51;41;471;168;471;168;34;325;394;281;1363;825;4722;602;72;27;438;1249;0;0;7;1;7;35;368;282;1363;859;1593;621;809;245;489;1055;3;0;11;1
Mb945;Mb945;sacc;Sacc_rob;3;377432;140465;4354;129;91;27;8399;303;-25;328;236;27;236;23;1184;161;52;39;446;174;446;179;1125;405;385;21;14;1195;26675;6225;50;1675;5975;92;975;0;175;1;1,16667E+14;3,93333E+14;3,63333E+14;2,43333E+14;138;1,22333E+14;9,33333E+14;59;56;1,83333E+14;5,06667E+14;5,63333E+14;0;0;1;1
Mb950;Mb950#47;sacc;Sacc_rob;3;357408;140195;4420;149;82;27;7425;298;-3;301;22;54;245;54;1406;193;49;36;496;180;429;180;48;376;374;25;139;946;3932;572;696;226;456;972;0;0;8;1;8;388;336;276;1374;974;1342;59;774;198;466;856;2;0;14;1
Mb952;Mb952#23;sin;Sin_N_Japan;1;357519;140201;4420;147;83;27;7465;297;-6;303;219;53;244;53;1404;192;49;36;495;179;429;179;48;376;374;25;139;946;3932;572;696;226;456;972;0;0;8;1;8;388;336;276;1374;974;1342;59;774;198;466;856;2;0;14;1
Mb956;Mb956#19;sacc;Sacc_rob;3;358694;140286;4323;145;88;28;7561;298;-14;312;218;49;243;49;1374;186;48;36;478;175;415;175;1155;332;3725;2955;1347;1095;8647;638;4605;3125;884;25805;2;0;17;1;61;3805;3215;298;1351;1159;648;6645;477;279;926;2887;87;0;18;1
Mb958;Mb958#19;sacc;Sacc_rob;3;358694;140286;4323;145;88;28;7561;298;-14;312;218;49;243;49;1374;186;48;36;478;175;415;175;1155;332;3725;2955;1347;1095;8647;638;4605;3125;884;25805;2;0;17;1;61;3805;3215;298;1351;1159;648;6645;477;279;926;2887;87;0;18;1
Mb96;Mb96;unknown;Sin_S_Japan;2;419686;126638;11406;31;129;24;13490;257;-26;517;191;-16;191;-16;863;218;9;94;533;35;533;35;2;38;39;23;138;13;195;64;55;20;87;124;0;0;1;1;4;40;37;23;139;139;67;68;64;17;95;138;1;0;1;1
Mb960;Mb960#20;sin;Sin_N_Japan;1;359974;140365;4323;142;91;28;7656;297;-2;317;216;45;242;45;1363;183;47;37;471;172;412;172;1155;332;3725;2955;1347;1095;8647;638;4605;3125;884;25805;2;0;17;1;61;3805;3215;298;1351;1159;648;6645;477;279;926;2887;87;0;18;1
Mb961;Mb961#16;sacc;Sacc_rob;3;358248;139854;4323;152;85;27;7620;306;-3;309;223;55;25;55;1398;185;45;40;501;153;466;153;1155;332;3725;2955;1347;1095;8647;638;4605;3125;884;25805;2;0;17;1;61;3805;3215;298;1351;1159;648;6645;477;279;926;2887;87;0;18;1
Mb962;Mb962#17;sacc;Sacc_rob;3;351877;138604;4422;156;94;30;7183;305;0;305;25;64;25;64;1978;266;61;42;704;216;704;216;34;325;394;281;1363;825;4722;602;72;27;438;1249;0;0;7;1;7;35;368;282;1363;859;1593;621;809;245;489;1055;3;0;11;1
Mb965;Mb965#15;sacc;Sacc_rob;3;354162;138802;4422;84;10;30;7931;245;-86;331;185;-18;185;-18;1935;267;53;47;737;185;737;185;34;325;394;281;1363;825;4722;602;72;27;438;1249;0;0;7;1;7;35;368;282;1363;859;1593;621;809;245;489;1055;3;0;11;1
Mb967;Mb967#11;sin;Sin_N_Japan;1;354162;138802;4422;84;10;30;7931;245;-86;331;185;-18;185;-18;1935;267;53;47;737;185;737;185;34;325;394;281;1363;825;4722;602;72;27;438;1249;0;0;7;1;7;35;368;282;1363;859;1593;621;809;245;489;1055;3;0;11;1
Mb969;Mb969#18;sacc;Sacc_rob;3;354162;138802;4422;84;10;30;7931;245;-86;331;185;-18;185;-18;1935;267;53;47;737;185;737;185;34;325;394;281;1363;825;4722;602;72;27;438;1249;0;0;7;1;7;35;368;282;1363;859;1593;621;809;245;489;1055;3;0;11;1
Mb97;Mb97;sin;Sin_S_Japan;2;412628;125317;11880;63;124;25;12411;274;-207;481;213;-11;213;-11;984;257;11;100;622;38;622;38;4;41;37;22;14;143;74;65;47;13;91;11;0;0;1;1;3;37;34;29;135;151;36;67;50;14;93;131;0;0;1;1
Mb974;Mb974#19;sin;Sin_N_Japan;1;353031;138674;4422;104;103;31;7756;265;-66;331;204;5;204;5;1899;260;55;44;704;193;704;193;34;325;394;281;1363;825;4722;602;72;27;438;1249;0;0;7;1;7;35;368;282;1363;859;1593;621;809;245;489;1055;3;0;11;1
Mb98;Mb98;rob;Sacc_rob;3;409328;124938;11880;61;12;25;12037;264;-202;466;207;-106;207;-106;1079;295;12;107;698;40;698;40;4;41;37;22;14;143;74;65;47;13;91;11;0;0;1;1;3;37;34;29;135;151;36;67;50;14;93;131;0;0;1;1
Mb987;Mb987#1;flor;Flor_Taiwan;4;234571;120685;11851;174;78;48;2993;245;85;16;207;145;207;132;2843;577;27;89;1623;92;1623;130;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb995;Mb995#2;flor;Flor_Taiwan;4;235214;120911;11839;146;79;50;2877;215;59;156;177;118;177;105;2583;488;39;76;1299;124;1299;163;8;40;37;23;139;119;116;49;29;11;34;47;0;0;1;1;7;35;33;32;133;135;35;48;30;12;33;34;0;0;1;1
