accession;geno;species;pop_dapc8;pop_dapc5;Lat;Long;Soil.all;TAA;TRD;TIA;TSA;TMA;TmA.1;TRA;TWeQ;TDQ;TWaQ;TCQ;PTA;PWM;PDM;PSA;PWeQ;PDQ;PWaQ;PCQ;T_GR;T_SA;T_SI;T_CL;T_RB;T_BD;T_OC;T_PH;T_CE;T_CS;T_BS;T_TE;T_CA;T_CO;T_ES;T_EC;S_GR;S_SA;S_SI;S_CL;S_RD;S_BD;S_OC;S_PH;S_CE;S_CS;S_BS;S_TE;S_CA;S_CO;S_ES;S_EC
Mb589;Mb589#1;sin;Sin_N_Japan;1;419098;140968;0;143;84;27;8332;298;-11;321;219;53;242;44;1404;221;46;48;574;171;543;172;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb59;Mb59;sin;Sin_S_Japan;2;369667;12815;4352;112;117;29;9868;296;-95;391;234;-21;234;-21;1205;299;23;84;673;80;673;80;18;42;365;215;14;13;1425;635;36;135;685;985;195;0;25;1;20;45;35;20;142;137;5;52;36;9;33;26;0;0;1;1
Mb593;Mb593#3;unknown;Sin_N_Japan;1;414026;140185;4354;99;7;23;7915;256;-42;298;203;3;203;-1;1266;166;75;26;443;230;443;271;1125;405;385;21;14;1195;26675;6225;50;1675;5975;92;975;0;175;1;1,16667E+14;3,93333E+14;3,63333E+14;2,43333E+14;138;1,22333E+14;9,33333E+14;59;56;1,83333E+14;5,06667E+14;5,63333E+14;0;0;1;1
Mb594;Mb594#11;sin;Sin_N_Japan;1;41402;140218;4354;104;71;23;7838;26;-37;297;206;35;206;5;1234;163;72;26;432;223;432;264;1125;405;385;21;14;1195;26675;6225;50;1675;5975;92;975;0;175;1;1,16667E+14;3,93333E+14;3,63333E+14;2,43333E+14;138;1,22333E+14;9,33333E+14;59;56;1,83333E+14;5,06667E+14;5,63333E+14;0;0;1;1
Mb599;Mb599#5;sin;Sin_N_Japan;1;419283;140296;4422;89;68;22;8422;253;-56;309;199;17;199;-17;1220;161;72;27;433;222;433;265;34;325;394;281;1363;825;4722;602;72;27;438;1249;0;0;7;1;7;35;368;282;1363;859;1593;621;809;245;489;1055;3;0;11;1
Mb60;Mb60;sacc;Sacc_rob;3;369667;12815;4352;112;117;29;9868;296;-95;391;234;-21;234;-21;1205;299;23;84;673;80;673;80;18;42;365;215;14;13;1425;635;36;135;685;985;195;0;25;1;20;45;35;20;142;137;5;52;36;9;33;26;0;0;1;1
Mb604;Mb604#13;sin;Sin_N_Japan;1;436195;144445;4354;52;77;21;9742;227;-131;358;146;-75;174;-75;1045;153;43;35;393;152;383;152;1125;405;385;21;14;1195;26675;6225;50;1675;5975;92;975;0;175;1;1,16667E+14;3,93333E+14;3,63333E+14;2,43333E+14;138;1,22333E+14;9,33333E+14;59;56;1,83333E+14;5,06667E+14;5,63333E+14;0;0;1;1
Mb617;Mb617#22;sin;Sin_N_Japan;1;361065;137958;4355;113;111;30;8840;297;-64;361;223;0;224;0;1184;173;37;47;448;125;438;125;1346;4036;3928;2036;14065;11218;30632;6115;4992;1929;5413;8571;1326;0;202;1;145;425;38;195;1415;1085;145;56;635;16;34;355;0;0;1;1
Mb623;Mb623#13;sin;Sin_N_Japan;1;357603;138453;4355;122;112;31;8456;297;-59;356;228;13;229;13;1280;180;38;46;484;131;474;131;1346;4036;3928;2036;14065;11218;30632;6115;4992;1929;5413;8571;1326;0;202;1;145;425;38;195;1415;1085;145;56;635;16;34;355;0;0;1;1
Mb627;Mb627#232;lut;Lut;3;2888572;11210192;11605;174;73;22;8573;336;15;321;217;82;282;6;1327;194;42;46;556;161;447;164;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb628;Mb628#1;lut;Lut;3;2891137;11219458;11928;173;73;22;8637;335;14;321;217;81;282;58;1325;193;42;46;556;162;444;165;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb629;Mb629#8;lut;Lut;3;289161;11214905;11928;173;73;22;8571;334;15;319;216;81;28;59;1327;193;42;46;556;162;446;164;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb63;Mb63;sin;Sin_S_Japan;2;373;1287;3964;82;105;28;9406;253;-112;365;193;-44;199;-44;1462;308;35;73;780;124;751;124;175;425;35;225;1395;1335;12;71;485;155;965;147;195;0;3;1;12;40;35;25;138;139;4;7;51;15;93;144;1;0;2;1
Mb630;Mb630#10;lut;Lut;3;2892072;1121644;11928;173;73;22;8590;334;14;32;216;81;28;58;1327;193;42;46;556;162;446;164;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb632;Mb632#1;lut;Lut;3;2890208;1121213;11928;174;73;22;8580;336;15;321;217;82;282;6;1325;193;42;46;555;161;446;164;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb633;Mb633#234;lut;Lut;3;2889948;1121262;11483;174;73;22;8594;336;15;321;217;82;282;6;1328;193;42;46;556;162;447;164;4;39;40;21;14;136;86;72;63;16;91;169;5;0;2;1;7;41;38;21;14;139;38;75;61;14;96;152;25;0;3;1
Mb634;Mb634#23;lut;Lut;3;2907387;11169113;11605;172;76;23;8472;335;13;322;215;82;279;59;1320;194;41;46;541;153;465;153;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb64;Mb64;sin;Sin_S_Japan;2;3735;128583;4357;79;107;28;9568;252;-119;371;192;-5;197;-5;1481;314;35;76;801;120;777;120;13;44;34;22;14;1,36333E+14;1,07333E+14;68;44;14;9,36667E+14;1,25667E+14;13;0;2,33333E+14;1;85;40;32;28;136;1445;395;66;42;135;90;12;5;0;15;1
Mb65;Mb65;sacc;Sacc_rob;3;373667;128383;4352;97;115;29;9829;277;-11;387;213;-35;219;-35;1345;305;31;80;745;99;729;99;18;42;365;215;14;13;1425;635;36;135;685;985;195;0;25;1;20;45;35;20;142;137;5;52;36;9;33;26;0;0;1;1
Mb67;Mb67;sin;Sin_S_Japan;2;334333;126483;6700;131;67;24;7329;274;-2;276;221;62;228;39;1578;239;45;54;695;176;663;177;1478;4168;3631;2201;13966;1234;18521;5983;42;1599;5413;8307;1326;0;202;1;14;445;335;22;1405;1265;765;52;37;12;315;255;0;0;15;1
Mb69;Mb69;sin;Sin_S_Japan;2;333667;1262;0;143;84;27;8332;298;-11;321;219;53;242;44;1404;221;46;48;574;171;543;172;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb7;Mb7;sin;Sin_N_Japan;1;384005;14074;4354;97;83;25;8713;27;-58;328;209;-1;209;-12;1408;189;72;34;530;236;530;243;1125;405;385;21;14;1195;26675;6225;50;1675;5975;92;975;0;175;1;1,16667E+14;3,93333E+14;3,63333E+14;2,43333E+14;138;1,22333E+14;9,33333E+14;59;56;1,83333E+14;5,06667E+14;5,63333E+14;0;0;1;1
Mb70;Mb70;sin;Sin_S_Japan;2;3325;126183;0;143;84;27;8332;298;-11;321;219;53;242;44;1404;221;46;48;574;171;543;172;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb702;Mb702#18;rob;Sacc_rob;3;452072;132216;0;44;11;23;13203;265;-212;477;202;-138;202;-138;571;117;7;77;299;28;299;28;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb714;Mb714#18;sacc;Sacc_rob;3;425777;129511;11910;24;121;27;11747;228;-214;442;167;-135;167;-135;669;162;6;91;399;22;399;22;4;41;37;22;14;143;74;65;47;13;91;11;0;0;1;1;3;37;34;29;135;151;36;67;50;14;93;131;0;0;1;1
Mb72;Mb72;sacc;Hyb;5;333833;1268;6702;148;72;25;7253;291;14;277;237;79;243;57;1785;279;50;54;803;195;751;201;13;385;423;192;1409;977;4858;562;52;25;35;572;0;0;13;1;142;394;399;207;1407;1025;2184;609;692;177;44;461;0;0;11;1
Mb73;Mb73;sin;Sin_S_Japan;2;356833;1285;4295;10;103;28;9059;271;-85;356;213;-2;213;-2;1404;300;25;75;753;99;753;99;121;432;342;226;1397;1358;1107;632;426;136;835;116;78;0;22;1;10625;39625;3225;28125;136125;13975;4075;63625;40125;12375;76875;107625;625;0;2;1
Mb74;Mb74;sin;Sin (EMI/PRI);1;356667;12845;4295;135;111;30;9071;307;-55;362;249;15;249;15;1163;250;19;78;635;75;635;75;121;432;342;226;1397;1358;1107;632;426;136;835;116;78;0;22;1;10625;39625;3225;28125;136125;13975;4075;63625;40125;12375;76875;107625;625;0;2;1
Mb746;Mb746;rob;Sacc_rob;3;374364;118529;11586;127;116;29;10352;313;-83;396;254;-14;254;-14;586;189;6;110;387;22;387;22;7;34;41;25;136;125;46;79;50;17;100;15;9;18;28;21;8;43;34;23;139;131;32;8;60;18;100;133;9;1;28;113
Mb75;Mb75;sin;Sin_S_Japan;2;355333;128517;4295;116;106;29;8933;285;-71;356;226;-3;226;-3;1370;287;23;75;736;92;736;92;121;432;342;226;1397;1358;1107;632;426;136;835;116;78;0;22;1;10625;39625;3225;28125;136125;13975;4075;63625;40125;12375;76875;107625;625;0;2;1
Mb755;Mb755#14;sacc;Sacc_rob;3;374563;118593;11586;127;115;29;10331;313;-83;396;253;-14;253;-14;588;189;6;108;388;22;388;22;7;34;41;25;136;125;46;79;50;17;100;15;9;18;28;21;8;43;34;23;139;131;32;8;60;18;100;133;9;1;28;113
Mb76;Mb76;sacc;Sacc_rob;3;351;12845;4295;142;99;29;8391;302;-35;337;244;31;246;31;1461;275;24;69;730;100;685;100;121;432;342;226;1397;1358;1107;632;426;136;835;116;78;0;22;1;10625;39625;3225;28125;136125;13975;4075;63625;40125;12375;76875;107625;625;0;2;1
Mb761;Mb761#15;sacc;Sacc_rob;3;374592;119041;0;143;84;27;8332;298;-11;321;219;53;242;44;1404;221;46;48;574;171;543;172;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb77;Mb77;sacc;Sacc_rob;3;348333;127467;0;143;84;27;8332;298;-11;321;219;53;242;44;1404;221;46;48;574;171;543;172;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb770;Mb770#18;lut;Lut;3;312176;118209;11492;164;78;23;9093;331;-5;336;253;66;278;44;1187;197;35;48;495;134;481;138;10;79;15;6;166;14;41;83;109;6;100;11;91;0;4;4;10;79;15;6;166;15;17;83;137;6;94;139;99;0;4;4
Mb771;Mb771#30;lut;Lut;3;312176;118209;11492;164;78;23;9093;331;-5;336;253;66;278;44;1187;197;35;48;495;134;481;138;10;79;15;6;166;14;41;83;109;6;100;11;91;0;4;4;10;79;15;6;166;15;17;83;137;6;94;139;99;0;4;4
Mb773;Mb773#27;lut;Lut;3;312176;118209;11492;164;78;23;9093;331;-5;336;253;66;278;44;1187;197;35;48;495;134;481;138;10;79;15;6;166;14;41;83;109;6;100;11;91;0;4;4;10;79;15;6;166;15;17;83;137;6;94;139;99;0;4;4
Mb775;Mb775#49;sacc;Sacc_rob;3;311692;118221;11605;165;78;23;9113;331;-4;335;254;66;279;44;1195;200;36;48;498;136;482;140;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb776;Mb776#49;sacc;Sacc_rob;3;311692;118221;11605;165;78;23;9113;331;-4;335;254;66;279;44;1195;200;36;48;498;136;482;140;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb779;Mb779#14;lut;Lut;3;311692;118221;11605;165;78;23;9113;331;-4;335;254;66;279;44;1195;200;36;48;498;136;482;140;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb78;Mb78;sacc;Sacc_rob;3;343;126517;4277;142;75;25;7952;293;-5;298;239;62;243;39;1329;225;31;63;650;121;598;121;66;433;281;286;1368;13305;10415;493;1935;86;48;491;0;0;15;1;83;3825;257;3605;13245;13535;415;5215;177;735;4945;411;0;0;165;1
Mb780;Mb780#26;sacc;Sacc_rob;3;311692;118221;11605;165;78;23;9113;331;-4;335;254;66;279;44;1195;200;36;48;498;136;482;140;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb781;Mb781#15;sacc;Hyb;5;311692;118221;11605;165;78;23;9113;331;-4;335;254;66;279;44;1195;200;36;48;498;136;482;140;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb783;Mb783#30;sacc;Sacc_rob;3;320465;118418;11613;154;85;25;9013;317;-19;336;267;34;267;34;1046;196;30;54;468;114;468;114;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb784;Mb784#21;sacc;Lut;3;320465;118418;11613;154;85;25;9013;317;-19;336;267;34;267;34;1046;196;30;54;468;114;468;114;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb787;Mb787#13;sacc;Sacc_rob;3;320421;118412;11857;154;85;25;9014;317;-19;336;267;34;267;34;1048;196;31;54;468;115;468;115;4;82;8;10;159;143;4;65;48;6;89;59;0;0;2;1;6;75;8;17;15;157;24;65;53;10;88;81;0;0;1;1
