UID,Genotype,Location,biol_rep,DW
77060,Mb1163#45,ABR 33 AM rep 3-R14 C23,3,0.931
77061,Mb1540#7,ABR 33 AM rep 3-R14 C24,3,0.514
77062,Mb859#1,ABR 33 AM rep 3-R15 C19,3,0
77063,Mb143,ABR 33 AM rep 3-R15 C20,3,0
77064,Mb1546#1,ABR 33 AM rep 3-R15 C21,3,0.673
77065,Mb633#234,ABR 33 AM rep 3-R15 C22,3,0.013
77066,Mx2918#1,ABR 33 AM rep 3-R15 C23,3,1.397
77067,Mb1226#28,ABR 33 AM rep 3-R15 C24,3,1.112
77069,Mb112,ABR 33 AM rep 3-R16 C20,3,0.134
77070,Mb42,ABR 33 AM rep 3-R16 C21,3,0.465
77071,Mb1212#41,ABR 33 AM rep 3-R16 C22,3,0.179
77072,Mb1126#24,ABR 33 AM rep 3-R16 C23,3,0.062
77073,Mb1087#25,ABR 33 AM rep 3-R16 C24,3,0.145
77074,Mb493#1,ABR 33 AM rep 3-R17 C19,3,0.229
77077,Mb5,ABR 33 AM rep 3-R17 C22,3,0.327
77078,Mb1532#3,ABR 33 AM rep 3-R17 C23,3,0.425
77079,Mb1066#42,ABR 33 AM rep 3-R17 C24,3,0.273
77083,Mb1077#44,ABR 33 AM rep 3-R18 C22,3,0.062
77084,Mx2756#12,ABR 33 AM rep 3-R18 C23,3,0.527
77085,Mb1221#21,ABR 33 AM rep 3-R18 C24,3,0.32
77088,Mb24,ABR 33 AM rep 3-R19 C21,3,0.127
77089,Mb926#21,ABR 33 AM rep 3-R19 C22,3,1.124
77091,Mb1232#26,ABR 33 AM rep 3-R19 C24,3,1.202
77092,Mb26,ABR 33 AM rep 3-R20 C19,3,0.2
77093,Mb851#1,ABR 33 AM rep 3-R20 C20,3,0.027
77096,Mb1210#26,ABR 33 AM rep 3-R20 C23,3,1.531
77098,Mb1494#1,ABR 33 AM rep 3-R21 C19,3,0.964
77099,Mb1548#1,ABR 33 AM rep 3-R21 C20,3,0.113
77100,Mb1234#33,ABR 33 AM rep 3-R21 C21,3,0.825
77102,Mb1082#41,ABR 33 AM rep 3-R21 C23,3,0.138
77103,Mb1534#6,ABR 33 AM rep 3-R21 C24,3,0.334
77104,Mb1541#1,ABR 33 AM rep 3-R22 C19,3,0.452
77106,Mb308,ABR 33 AM rep 3-R22 C21,3,0.139
