UID,Genotype,Location,biol_rep,DW
77470,Mb1029#24,ABR 33 AM rep 2-R4 C19,2,0.755
77471,Mb406#1,ABR 33 AM rep 2-R4 C20,2,0.194
77472,Mb3,ABR 33 AM rep 2-R4 C21,2,1.221
77473,Mb1195#4,ABR 33 AM rep 2-R4 C22,2,0.177
77474,Mb1109#25,ABR 33 AM rep 2-R4 C23,2,2.895
77475,Mb1100#41,ABR 33 AM rep 2-R4 C24,2,2.595
77477,Mb26,ABR 33 AM rep 2-R40 C19,2,0.111
77478,Mb1517#1,ABR 33 AM rep 2-R40 C20,2,0
77479,Mb69,ABR 33 AM rep 2-R40 C21,2,0.164
77480,Mb357,ABR 33 AM rep 2-R40 C22,2,0.115
77482,Mx2779#12,ABR 33 AM rep 2-R40 C24,2,2.006
77483,Mb1106#24,ABR 33 AM rep 2-R40 C25,2,1.55
77484,Mb1117#28,ABR 33 AM rep 2-R40 C26,2,0.028
77485,Mb391,ABR 33 AM rep 2-R5 C19,2,0.092
77486,Mb1528#1,ABR 33 AM rep 2-R5 C20,2,0.559
77487,Mb1096#5,ABR 33 AM rep 2-R5 C21,2,1.909
77488,Mb354,ABR 33 AM rep 2-R5 C22,2,0.011
77489,Mx1809#16,ABR 33 AM rep 2-R5 C23,2,0
77490,Mx2918#1,ABR 33 AM rep 2-R5 C24,2,2.634
77491,Mb1098#23,ABR 33 AM rep 2-R5 C25,2,0.774
77492,Mb1211#4,ABR 33 AM rep 2-R6 C19,2,0.51
77493,Mb1014#1,ABR 33 AM rep 2-R6 C20,2,0.003
77494,Mb1548#1,ABR 33 AM rep 2-R6 C21,2,0.146
77495,Mb1539#20,ABR 33 AM rep 2-R6 C22,2,0.294
77496,Mb1336#13,ABR 33 AM rep 2-R6 C23,2,0.517
77498,Mx1836#16,ABR 33 AM rep 2-R6 C25,2,0
77499,Mb1187#4,ABR 33 AM rep 2-R7 C19,2,0.179
77500,Mb169,ABR 33 AM rep 2-R7 C20,2,0.599
77501,Mb1461#8,ABR 33 AM rep 2-R7 C21,2,0
77502,Mb136,ABR 33 AM rep 2-R7 C22,2,0.528
77504,Mb1068#30,ABR 33 AM rep 2-R7 C24,2,0.661
77506,Mx2481#5,ABR 33 AM rep 2-R8 C19,2,0.941
77507,Mb1379#1,ABR 33 AM rep 2-R8 C20,2,0.039
77511,Mb1163#45,ABR 33 AM rep 2-R8 C24,2,1.577
77512,Mx2781#4,ABR 33 AM rep 2-R8 C25,2,2.74
77513,Mb229,ABR 33 AM rep 2-R9 C19,2,0.103
77514,Mb1531#1,ABR 33 AM rep 2-R9 C20,2,0.405
77515,Mb1049#5,ABR 33 AM rep 2-R9 C21,2,0.025
77516,Mb173,ABR 33 AM rep 2-R9 C22,2,0.842
77517,Mb1212#41,ABR 33 AM rep 2-R9 C23,2,2.282
77519,Mb1181#25,ABR 33 AM rep 2-R9 C25,2,1.145
77520,Mb1077#44,ABR 33 AM rep 2-R1 C19,2,0.253
77522,Mb24,ABR 33 AM rep 2-R1 C21,2,0.391
77523,Mb348,ABR 33 AM rep 2-R1 C22,2,0.028
77524,Mb1547#1,ABR 33 AM rep 2-R1 C23,2,1.046
77526,Mb1115#24,ABR 33 AM rep 2-R1 C25,2,0.021
77527,Mb30,ABR 33 AM rep 2-R2 C19,2,0.598
77528,Mb632#1,ABR 33 AM rep 2-R2 C20,2,0.372
77529,Mb539#1,ABR 33 AM rep 2-R2 C21,2,0.09
77530,Mb780#26,ABR 33 AM rep 2-R2 C22,2,0.06
77531,Mb1081#29,ABR 33 AM rep 2-R2 C23,2,0.485
77533,Mx2715#6,ABR 33 AM rep 2-R2 C25,2,0.879
